CMI,CMI0027,เชียงใหม่,เมืองเชียงใหม่,หายยา,18.78013,98.98756,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0033,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.81422,98.9825,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0034,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.78762,98.97255,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0036,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.79547,98.97758,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0039,เชียงใหม่,เมืองเชียงใหม่,ศรีภูมิ,18.7894,98.9877,6,Active, Active , Active , Active , Active ,Active
CMI,CMI0040,เชียงใหม่,เมืองเชียงใหม่,แม่เหียะ,18.73444,98.95696,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0041,เชียงใหม่,เมืองเชียงใหม่,ป่าแดด,18.76357,98.99277,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0042,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,18.77614,98.99774,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0043,เชียงใหม่,เมืองเชียงใหม่,หายยา,18.77964,98.99375,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0044,เชียงใหม่,เมืองเชียงใหม่,หนองหอย,18.76387,99.00655,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0046,เชียงใหม่,เมืองเชียงใหม่,ช้างม่อย,18.7894,98.9968,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0047,เชียงใหม่,เมืองเชียงใหม่,ช้างม่อย,18.79534,98.99497,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0048,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,18.78226,99.00189,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0049,เชียงใหม่,เมืองเชียงใหม่,วัดเกต,18.78623,99.01476,5,Active,, Active , Active , Active , Active 
CMI,CMI0050,เชียงใหม่,เมืองเชียงใหม่,หนองป่าครั่ง,18.78538,99.02356,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0051,เชียงใหม่,เมืองเชียงใหม่,ท่าศาลา,18.7684,99.02842,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0052,เชียงใหม่,เมืองเชียงใหม่,หนองป่าครั่ง,18.79129,99.03021,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0053,เชียงใหม่,เมืองเชียงใหม่,วัดเกต,18.80181,99.01611,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0054,เชียงใหม่,สันทราย,สันพระเนตร,18.81089,99.02982,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0056,เชียงใหม่,เมืองเชียงใหม่,ฟ้าฮ่าม,18.80845,99.01009,3,,, Active , Active , Active ,
CMI,CMI0057,เชียงใหม่,เมืองเชียงใหม่,ป่าตัน,18.81569,98.99625,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0058,เชียงใหม่,เมืองเชียงใหม่,ช้างม่อย,18.79999,98.99847,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0059,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.802,98.9856,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0060,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.82905,98.97897,5,Active,, Active , Active , Active , Active 
CMI,CMI0062,เชียงใหม่,เมืองเชียงใหม่,ศรีภูมิ,18.79603,98.98721,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0064,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.80482,98.95915,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0065,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.79353,98.95192,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0066,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.80556,98.96917,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0067,เชียงใหม่,สันกำแพง,ต้นเปา,18.7676,99.0821,5,Active,, Active , Active , Active , Active 
CMI,CMI0068,เชียงใหม่,สันกำแพง,สันกำแพง,18.74255,99.11824,5,Active,, Active , Active , Active , Active 
CMI,CMI0069,เชียงใหม่,สารภี,ยางเนิ้ง,18.7152,99.0379,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0070,เชียงใหม่,สารภี,สารภี,18.6714,99.05353,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0072,เชียงใหม่,หางดง,หางดง,18.67895,98.92019,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0073,เชียงใหม่,สันป่าตอง,ทุ่งต้อม,18.62105,98.8969,5,Active,, Active , Active , Active , Active 
CMI,CMI0074,เชียงใหม่,สันป่าตอง,บ้านกลาง,18.56477,98.87418,5,Active,, Active , Active , Active , Active 
CMI,CMI0075,เชียงใหม่,จอมทอง,ข่วงเปา,18.4242,98.68192,5,Active,, Active , Active , Active , Active 
CMI,CMI0078,เชียงใหม่,แม่แตง,ขี้เหล็ก,19.08854,98.93802,5,Active, Active , Active , Active ,, Active 
CMI,CMI0080,เชียงใหม่,แม่ริม,ริมใต้,18.917,98.9501,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0081,เชียงใหม่,แม่ริม,ขี้เหล็ก,19.00245,98.94261,5,Active, Active , Active , Active ,, Active 
CMI,CMI0092,เชียงใหม่,ดอยหล่อ,ดอยหล่อ,18.51306,98.83217,5,Active,, Active , Active , Active , Active 
CMI,CMI0093,เชียงใหม่,แม่ริม,แม่แรม,18.91993,98.91774,6,Active, Active , Active , Active , Active , Active 
CMI,CMI0637,เชียงใหม่,ฮอด,หางดง,18.1927,98.6078,4,Active,, Active , Active ,, Active 
CMI,CMI1213,เชียงใหม่,แม่ออน,ออนเหนือ,18.7875,99.2575,4,Active,, Active , Active ,, Active 
CMI,CMI1305,เชียงใหม่,สันทราย,สันทรายหลวง,18.8525,99.0403,5,Active,, Active , Active , Active , Active 
CMI,CMI1320,เชียงใหม่,ดอยหล่อ,ดอยหล่อ,18.45722,98.76944,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1507,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.81631,98.97225,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1508,เชียงใหม่,สารภี,หนองผึ้ง,18.741,99.01582,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1517,เชียงใหม่,สันทราย,ป่าไผ่,18.8727,99.0517,5,Active,, Active , Active , Active , Active 
CMI,CMI1518,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.80586,98.98997,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1519,เชียงใหม่,หางดง,สันผักหวาน,18.71172,98.94166,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1537,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.81472,98.88223,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1540,เชียงใหม่,สันกำแพง,สันกลาง,18.77723,99.055,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1600,เชียงใหม่,เมืองเชียงใหม่,แม่เหียะ,18.75484,98.97203,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1601,เชียงใหม่,เมืองเชียงใหม่,วัดเกต,18.77193,99.01565,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1602,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.78979,98.95479,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1604,เชียงใหม่,แม่ริม,ดอนแก้ว,18.84702,98.97495,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1606,เชียงใหม่,สันทราย,หนองจ๊อม,18.82881,99.02017,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1607,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,18.77246,98.98624,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1608,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.80361,98.97862,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1610,เชียงใหม่,ดอยเต่า,มืดกา,17.93823,98.70674,5,Active, Active , Active , Active ,, Active 
CMI,CMI1611,เชียงใหม่,แม่แจ่ม,ช่างเคิ่ง,18.49852,98.36631,5,Active,, Active , Active , Active , Active 
CMI,CMI1612,เชียงใหม่,จอมทอง,สบเตี๊ยะ,18.34687,98.68929,5,Active, Active , Active , Active ,, Active 
CMI,CMI1613,เชียงใหม่,จอมทอง,บ้านแปะ,18.24718,98.60603,3,Active, Active ,,,, Active 
CMI,CMI1616,เชียงใหม่,แม่แจ่ม,ช่างเคิ่ง,18.57393,98.48233,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1618,เชียงใหม่,แม่ออน,บ้านสหกรณ์,18.82306,99.22969,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1619,เชียงใหม่,สันป่าตอง,บ้านแม,18.6347,98.8494,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1620,เชียงใหม่,สารภี,ป่าบง,18.74194,99.05361,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1621,เชียงใหม่,ดอยสะเก็ด,ตลาดใหญ่,18.81,99.1225,5,Active,, Active , Active , Active , Active 
CMI,CMI1622,เชียงใหม่,แม่แตง,แม่แตง,19.14833,98.94528,5,Active, Active , Active , Active ,, Active 
CMI,CMI1623,เชียงใหม่,แม่แตง,ช่อแล,19.1483,99.01088,5,Active, Active , Active , Active ,, Active 
CMI,CMI1624,เชียงใหม่,แม่แตง,อินทขิล,19.18122,98.97899,5,Active, Active , Active , Active ,, Active 
CMI,CMI1625,เชียงใหม่,เชียงดาว,เมืองงาย,19.45626,98.95908,4,Active,, Active , Active ,, Active 
CMI,CMI1627,เชียงใหม่,ฝาง,สันทราย,19.87463,99.18756,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1628,เชียงใหม่,ฝาง,โป่งน้ำร้อน,19.93297,99.17155,5,Active, Active , Active , Active ,, Active 
CMI,CMI1629,เชียงใหม่,แม่อาย,แม่สาว,19.96564,99.24483,5,Active, Active , Active , Active ,, Active 
CMI,CMI1630,เชียงใหม่,แม่อาย,ท่าตอน,20.053,99.35659,4,Active,, Active , Active ,, Active 
CMI,CMI1631,เชียงใหม่,แม่ริม,ห้วยทราย,18.95777,98.92105,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1633,เชียงใหม่,เวียงแหง,เมืองแหง,19.58168,98.6189,5,Active, Active , Active , Active ,, Active 
CMI,CMI1641,เชียงใหม่,เมืองเชียงใหม่,สันผีเสื้อ,18.86556,98.98556,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1644,เชียงใหม่,หางดง,หนองควาย,18.72139,98.92028,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1645,เชียงใหม่,สารภี,ท่าวังตาล,18.71474,98.98782,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1646,เชียงใหม่,ดอยสะเก็ด,สันปูเลย,18.79945,99.06139,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1647,เชียงใหม่,หางดง,หนองแก๋ว,18.655,98.93833,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1649,เชียงใหม่,สันป่าตอง,มะขุนหวาน,18.58781,98.91671,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1652,เชียงใหม่,สันทราย,หนองแหย่ง,18.89157,99.09106,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1653,เชียงใหม่,จอมทอง,บ้านหลวง,18.48141,98.66518,1,, Active ,,,,
CMI,CMI1657,เชียงใหม่,สันกำแพง,ทรายมูล,18.73937,99.15164,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1659,เชียงใหม่,หางดง,บ้านปง,18.80278,98.83472,3,Active, Active ,,,, Active 
CMI,CMI1672,เชียงใหม่,แม่แตง,สบเปิง,19.08298,98.85336,5,Active, Active , Active , Active ,, Active 
CMI,CMI1675,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.78943,98.96552,3,Active, Active ,,,, Active 
CMI,CMI1679,เชียงใหม่,สันทราย,สันพระเนตร,18.795,99.0339,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1682,เชียงใหม่,เมืองเชียงใหม่,ท่าศาลา,18.77737,99.04098,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1684,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,18.7669,99.0017,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1688,เชียงใหม่,สันทราย,หนองหาร,18.8758,99.01418,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1690,เชียงใหม่,ฮอด,บ่อหลวง,18.13727,98.37219,2,Active,,,,, Active 
CMI,CMI1691,เชียงใหม่,แม่วาง,ทุ่งปี้,18.5933,98.7903,5,Active, Active , Active , Active ,, Active 
CMI,CMI1695,เชียงใหม่,สันทราย,ป่าไผ่,18.89088,99.03439,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1696,เชียงใหม่,หางดง,ขุนคง,18.68559,98.94725,5,Active,, Active , Active , Active , Active 
CMI,CMI1709,เชียงใหม่,สันทราย,หนองหาร,18.91982,98.99122,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1737,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.81017,98.9636,4,, Active , Active , Active , Active ,
CMI,CMI1738,เชียงใหม่,สันทราย,หนองหาร,18.89108,99.01117,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1739,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.79159,98.95812,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1740,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.79718,98.95173,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1741,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.7955,98.96418,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1742,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.79683,98.97327,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1760,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.76334,98.94676,3,Active, Active ,,,, Active 
CMI,CMI1762,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.81166,98.98897,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1763,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.8081,98.98327,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1764,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.80173,98.97536,1,, Active ,,,,
CMI,CMI1765,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.79996,98.9599,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1766,เชียงใหม่,เมืองเชียงใหม่,ศรีภูมิ,18.79675,98.98102,3,,, Active , Active , Active ,
CMI,CMI1768,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,18.78282,98.996,5,Active,, Active , Active , Active , Active 
CMI,CMI1769,เชียงใหม่,เมืองเชียงใหม่,ศรีภูมิ,18.79355,98.9832,5,Active,, Active , Active , Active , Active 
CMI,CMI1772,เชียงใหม่,ฝาง,เวียง,19.92445,99.22082,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1773,เชียงใหม่,เมืองเชียงใหม่,หนองหอย,18.75902,99.0175,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1775,เชียงใหม่,จอมทอง,บ้านหลวง,18.41877,98.67248,3,,, Active , Active , Active ,
CMI,CMI1776,เชียงใหม่,หางดง,หางดง,18.6917,98.92152,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1803,เชียงใหม่,ฮอด,บ่อสลี,18.14919,98.24804,3,Active, Active ,,,, Active 
CMI,CMI1804,เชียงใหม่,สารภี,หนองแฝก,18.68775,99.02712,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1805,เชียงใหม่,สันกำแพง,แม่ปูคา,18.77233,99.11399,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1806,เชียงใหม่,ดอยสะเก็ด,แม่โป่ง,18.82039,99.16785,6,Active, Active , Active , Active , Active , Active 
